"";"post_code";"muni_name"
"212";"03810";"Lohja"
"213";"03850";"Lohja"
"214";"03870";"Lohja"
"215";"04130";"Sipoo"
"216";"04150";"Sipoo"
"217";"04170";"Sipoo"
"218";"04200";"Kerava"
"219";"04220";"Kerava"
"220";"04230";"Kerava"
"221";"04240";"Sipoo"
"222";"04250";"Kerava"
"223";"04260";"Kerava"
"224";"04300";"Tuusula"
"225";"04310";"Tuusula"
"226";"04320";"Tuusula"
"227";"04330";"Tuusula"
"228";"04340";"Tuusula"
"229";"04350";"Tuusula"
"230";"04360";"Tuusula"
"231";"04370";"Tuusula"
"232";"04380";"Tuusula"
"233";"04390";"Tuusula"
"234";"04400";"Järvenpää"
"235";"04410";"Järvenpää"
"236";"04420";"Järvenpää"
"237";"04430";"Järvenpää"
"238";"04440";"Järvenpää"
"239";"04460";"Järvenpää"
"240";"04480";"Mäntsälä"
"241";"04500";"Tuusula"
"242";"04530";"Mäntsälä"
"243";"04600";"Mäntsälä"
"244";"04620";"Mäntsälä"
"245";"04630";"Mäntsälä"
"246";"04660";"Mäntsälä"
"247";"04680";"Mäntsälä"
"248";"04740";"Mäntsälä"
"249";"04770";"Mäntsälä"
"250";"04820";"Mäntsälä"
"251";"04840";"Mäntsälä"
"252";"04920";"Mäntsälä"
"253";"04940";"Mäntsälä"
"254";"05100";"Nurmijärvi"
"255";"05200";"Nurmijärvi"
"256";"05250";"Nurmijärvi"
"257";"05400";"Tuusula"
"258";"05430";"Tuusula"
"259";"05440";"Hyvinkää"
"260";"05450";"Nurmijärvi"
"261";"05460";"Hyvinkää"
"262";"05470";"Hyvinkää"
"263";"05510";"Hyvinkää"
"264";"05620";"Hyvinkää"
"265";"05720";"Hyvinkää"
"266";"05800";"Hyvinkää"
"267";"05810";"Hyvinkää"
"268";"05820";"Hyvinkää"
"269";"05830";"Hyvinkää"
"270";"05840";"Hyvinkää"
"271";"05850";"Hyvinkää"
"272";"05860";"Hyvinkää"
"273";"05880";"Hyvinkää"
"274";"05900";"Hyvinkää"
"275";"05950";"Hyvinkää"
"276";"06100";"Porvoo"
"277";"06150";"Porvoo"
"278";"06200";"Porvoo"
"279";"06400";"Porvoo"
"280";"06450";"Porvoo"
"281";"06500";"Porvoo"
"282";"06530";"Porvoo"
"283";"06650";"Porvoo"
"284";"06750";"Porvoo"
"285";"06830";"Porvoo"
"286";"06850";"Porvoo"
"287";"06880";"Sipoo"
"288";"06950";"Porvoo"
"289";"07110";"Porvoo"
"290";"07130";"Porvoo"
"291";"07150";"Pornainen"
"292";"07170";"Pornainen"
"293";"07190";"Pornainen"
"294";"07220";"Porvoo"
"295";"07230";"Askola"
"296";"07280";"Porvoo"
"297";"07310";"Porvoo"
"298";"07320";"Porvoo"
"299";"07350";"Porvoo"
"300";"07360";"Porvoo"
"301";"07370";"Porvoo"
"302";"07390";"Porvoo"
"303";"07410";"Porvoo"
"304";"07450";"Porvoo"
"305";"07500";"Askola"
"306";"07510";"Askola"
"307";"07530";"Askola"
"308";"07550";"Pukkila"
"309";"07560";"Pukkila"
"310";"07565";"Pukkila"
"311";"07580";"Askola"
"312";"07590";"Askola"
"313";"07600";"Myrskylä"
"314";"07680";"Askola"
"315";"07690";"Myrskylä"
"316";"07700";"Loviisa"
"317";"07720";"Loviisa"
"318";"07740";"Loviisa"
"319";"07750";"Loviisa"
"320";"07780";"Loviisa"
"321";"07800";"Lapinjärvi"
"322";"07810";"Lapinjärvi"
"323";"07820";"Lapinjärvi"
"324";"07830";"Lapinjärvi"
"325";"07840";"Lapinjärvi"
"326";"07850";"Lapinjärvi"
"327";"07870";"Loviisa"
"328";"07880";"Loviisa"
"329";"07890";"Loviisa"
"330";"07900";"Loviisa"
"331";"07910";"Loviisa"
"332";"07920";"Loviisa"
"333";"07930";"Loviisa"
"334";"07940";"Loviisa"
"335";"07945";"Loviisa"
"336";"07955";"Loviisa"
"337";"07960";"Loviisa"
"338";"07970";"Loviisa"
"339";"07980";"Loviisa"
"340";"07990";"Loviisa"
"341";"08100";"Lohja"
"342";"08150";"Lohja"
"343";"08200";"Lohja"
"344";"08350";"Lohja"
"345";"08360";"Lohja"
"346";"08450";"Lohja"
"347";"08480";"Lohja"
"348";"08500";"Lohja"
"349";"08680";"Lohja"
"350";"08700";"Lohja"
"351";"08800";"Lohja"
"352";"09120";"Lohja"
"353";"09220";"Lohja"
"354";"09430";"Lohja"
"355";"09520";"Lohja"
"356";"09630";"Lohja"
"357";"09810";"Lohja"
"358";"09930";"Lohja"
"359";"10120";"Inkoo"
"360";"10140";"Inkoo"
"361";"10160";"Inkoo"
"362";"10210";"Inkoo"
"363";"10230";"Inkoo"
"364";"10250";"Inkoo"
"365";"10270";"Inkoo"
"366";"10300";"Raasepori"
"367";"10320";"Raasepori"
"368";"10330";"Raasepori"
"369";"10350";"Raasepori"
"370";"10360";"Raasepori"
"371";"10380";"Raasepori"
"372";"10410";"Raasepori"
"373";"10420";"Raasepori"
"374";"10440";"Raasepori"
"375";"10470";"Raasepori"
"376";"10480";"Raasepori"
"377";"10520";"Raasepori"
"378";"10570";"Raasepori"
"379";"10600";"Raasepori"
"380";"10620";"Raasepori"
"381";"10640";"Raasepori"
"382";"10650";"Raasepori"
"383";"10660";"Raasepori"
"384";"10680";"Raasepori"
"385";"10710";"Raasepori"
"386";"10820";"Hanko"
"387";"10900";"Hanko"
"388";"10940";"Hanko"
"389";"10960";"Hanko"
"390";"11100";"Riihimäki"
"391";"11120";"Riihimäki"
"392";"11130";"Riihimäki"
"393";"11310";"Riihimäki"
"394";"11710";"Riihimäki"
"395";"11910";"Janakkala"
"396";"12100";"Hausjärvi"
"397";"12130";"Hausjärvi"
"398";"12170";"Hausjärvi"
"399";"12210";"Hausjärvi"
"400";"12240";"Hausjärvi"
"401";"12310";"Hausjärvi"
"402";"12350";"Hausjärvi"
"403";"12380";"Janakkala"
"404";"12400";"Janakkala"
"405";"12450";"Janakkala"
"406";"12520";"Loppi"
"407";"12540";"Loppi"
"408";"12600";"Loppi"
"409";"12630";"Loppi"
"410";"12640";"Loppi"
"411";"12700";"Loppi"
"412";"12750";"Loppi"
"413";"12820";"Loppi"
"414";"12920";"Loppi"
"415";"12950";"Loppi"
"416";"13100";"Hämeenlinna"
"417";"13110";"Hämeenlinna"
"418";"13130";"Hämeenlinna"
"419";"13200";"Hämeenlinna"
"420";"13210";"Hämeenlinna"
"421";"13220";"Hämeenlinna"
"422";"13250";"Hämeenlinna"
"423";"13270";"Hämeenlinna"
"424";"13300";"Hämeenlinna"
"425";"13330";"Janakkala"
"426";"13430";"Hämeenlinna"
"427";"13500";"Hämeenlinna"
"428";"13530";"Hämeenlinna"
"429";"13600";"Hämeenlinna"
"430";"13700";"Hattula"
"431";"13720";"Hattula"
"432";"13800";"Hattula"
"433";"13880";"Hattula"
"434";"13900";"Hattula"
"435";"14140";"Janakkala"
"436";"14200";"Janakkala"
"437";"14240";"Janakkala"
"438";"14300";"Hämeenlinna"
"439";"14430";"Hattula"
"440";"14450";"Hämeenlinna"
"441";"14500";"Hämeenlinna"
"442";"14530";"Hattula"
"443";"14610";"Hattula"
