"";"neighborhood";"apartment_type";"building_type";"square_meters";"price";"price_per_sqm";"year_built";"floor";"elevator";"condition";"property_type";"energy_classification";"post_code";"apartment_type_cleaned";"number_of_rooms";"sauna_dummy";"own_floor";"max_floor";"elevator_dummy";"condition_unrecorded_dummy";"condition_adequate_dummy";"condition_good_dummy";"age_of_building";"own_property_dummy";"energy_class_cleaned";"energy_class_A_dummy";"energy_class_B_dummy";"energy_class_C_dummy";"energy_class_D_dummy";"energy_class_E_dummy";"energy_class_F_dummy";"energy_class_G_dummy";"energy_class_missing_dummy";"one_room_dummy";"two_rooms_dummy";"three_rooms_dummy";"four_or_more_rooms_dummy";"room_information_missing_dummy";"row_house_dummy";"town_house_dummy"
"1";"Keskusta";"1h,avok,kph.";"kt";26;"290000";"11154";"1937";"5/5";"on";"hyvä";"oma";"G2013";"00100";"1h+avok+kph.";1;0;5;5;1;0;0;1;83;1;"G";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"2";"Kamppi";"1h+avok.+alk.+k...";"kt";28,5;"279000";"9789";"1932";"2/7";"on";"hyvä";"oma";"D2007";"00100";"1h+avok.+alk.+k...";1;0;2;7;1;0;0;1;88;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"3";"Kamppi";"1h, avok., kph,...";"kt";24,2;"239000";"9876";"1912";"2/5";"on";"tyyd.";"oma";"E2007";"00100";"1h+avok.+kph+...";1;0;2;5;1;0;1;0;108;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"4";"Kamppi";"1 h, k, kph";"kt";49;"400000";"8163";"1906";"1/7";"on";"hyvä";"oma";NA;"00100";"1h+k+kph";1;0;1;7;1;0;0;1;114;1;"missing";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"6";"Etu-töölö";"1h";"kt";25,9;"249000";"9614";"1928";"5/6";"on";"hyvä";"oma";"F2013";"00100";"1h";1;0;5;6;1;0;0;1;92;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"7";"Kamppi";"1h+kk+s";"kt";51;"685000";"13431";"2005";"6/6";"on";"hyvä";"oma";"D2007";"00100";"1h+kk+s";1;1;6;6;1;0;0;1;15;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"8";"Etu-töölö";"1h, avok, kph, kht";"kt";24;"217000";"9042";"1929";"6/7";"on";"hyvä";"oma";"E2018";"00100";"1h+avok+kph+kht";1;0;6;7;1;0;0;1;91;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"9";"Etu-töölö";"1h, kk";"kt";28;"260000";"9286";"1927";"1/6";"on";"tyyd.";"oma";"F2013";"00100";"1h+kk";1;0;1;6;1;0;1;0;93;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"10";"Etu-töölö";"1h+k";"kt";41;"320000";"7805";"1911";"2/5";"ei";"hyvä";"oma";"E2018";"00100";"1h+k";1;0;2;5;0;0;0;1;109;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"11";"Töölö";"1h,ikk.kk,kh";"kt";23;"226000";"9826";"1934";"1/3";"ei";"tyyd.";"oma";"D2013";"00100";"1h+ikk.kk+kh";1;0;1;3;0;0;1;0;86;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"12";"Keskusta";"1h,k";"kt";47,9;"500000";"10438";"1905";"3/3";"ei";"tyyd.";"oma";"G";"00100";"1h+k";1;0;3;3;0;0;1;0;115;1;"G";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"14";"Etu-töölö";"1h+k+alkovi+kph";"kt";39;"360000";"9231";"1927";"6/6";"on";"tyyd.";"oma";"G2013";"00100";"1h+k+alkovi+kph";1;0;6;6;1;0;1;0;93;1;"G";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"15";"Etu-töölö";"Huone, avokeitt...";"kt";47;"392000";"8340";"1927";"3/6";"on";"hyvä";"oma";"F2013";"00100";"huone+avokeitt...";NA;0;3;6;1;0;0;1;93;1;"F";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"16";"Kamppi";"1h+k";"kt";52;"398000";"7654";"1911";"5/7";"on";"hyvä";"oma";"D2013";"00100";"1h+k";1;0;5;7;1;0;0;1;109;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"17";"Kamppi";"1h, eril. wc, k...";"kt";30;"298000";"9933";"1927";"5/7";"on";"hyvä";"oma";"F2013";"00100";"1h+eril.wc+k...";1;0;5;7;1;0;0;1;93;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"18";"Etu-töölö";"1h,kk";"kt";26,5;"207000";"7811";"1927";"5/7";"on";"huono";"oma";"D2018";"00100";"1h+kk";1;0;5;7;1;0;0;0;93;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"19";"Kamppi";"1h, kk, kph";"kt";23;"243000";"10565";"1932";"1/5";"on";"tyyd.";"oma";"E2018";"00100";"1h+kk+kph";1;0;1;5;1;0;1;0;88;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"21";"Etu-töölö";"2h, kk, kph, et...";"kt";39,4;"340000";"8629";"1927";"4/6";"on";"tyyd.";"oma";NA;"00100";"2h+kk+kph+et...";2;0;4;6;1;0;1;0;93;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"22";"Etu-töölö";"2 h, avok, alko...";"kt";56,3;"389000";"6909";"1924";"1/6";"on";"hyvä";"oma";"G2013";"00100";"2h+avok+alko...";2;0;1;6;1;0;0;1;96;1;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"23";"Etu-töölö";"2h, avok, kph";"kt";75,5;"565000";"7483";"1928";"4/6";"on";"hyvä";"oma";"F2013";"00100";"2h+avok+kph";2;0;4;6;1;0;0;1;92;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"24";"Etu-töölö";"2h, kk, wc";"kt";57;"399500";"7009";"1927";"1/6";"on";"hyvä";"oma";"F2013";"00100";"2h+kk+wc";2;0;1;6;1;0;0;1;93;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"25";"Etu-töölö";"2h, k, kph";"kt";55,8;"407000";"7294";"1928";"7/7";"on";"tyyd.";"oma";"C2007";"00100";"2h+k+kph";2;0;7;7;1;0;1;0;92;1;"C";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"26";"Etu-töölö";"2-3h+avok+kph+w...";"kt";77,5;"555000";"7161";"1926";"4/6";"on";"hyvä";"oma";"F2013";"00100";"2-3h+avok+kph+w...";3;0;4;6;1;0;0;1;94;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"27";"Etu-töölö";"2h, avokeitti...";"kt";56,6;"445000";"7862";"1923";"3/6";"on";"hyvä";"oma";"F2013";"00100";"2h+avokeitti...";2;0;3;6;1;0;0;1;97;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"28";"Töölö";"1h + avokeitti&...";"kt";44,4;"351000";"7905";"1927";"3/7";"on";"hyvä";"oma";"F2013";"00100";"1h+avokeitti&...";1;0;3;7;1;0;0;1;93;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"29";"Keskusta";"2h+k+kph";"kt";49,5;"485000";"9798";"1908";"2/6";"on";"hyvä";"oma";"F2013";"00100";"2h+k+kph";2;0;2;6;1;0;0;1;112;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"33";"Etu-töölö";"2h+k+kh";"kt";37;"335000";"9054";"1936";"4/6";"on";"hyvä";"oma";"E2007";"00100";"2h+k+kh";2;0;4;6;1;0;0;1;84;1;"E";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"34";"Kamppi";"3h (yhtiöj...";"kt";58;"438000";"7552";"1932";"2/7";"on";"tyyd.";"oma";"F2013";"00100";"3h(yhtiöj...";3;0;2;7;1;0;1;0;88;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"35";"Etu-töölö";"2h, k";"kt";36;"316000";"8778";"1921";"3/6";"on";"hyvä";"oma";"B2007";"00100";"2h+k";2;0;3;6;1;0;0;1;99;1;"B";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"36";"Keskusta/kamppi";"2h,k,kph,vh.";"kt";48,8;"359000";"7357";"1962";"2/6";"ei";"hyvä";"oma";"G2013";"00100";"2h+k+kph+vh.";2;0;2;6;0;0;0;1;58;1;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"37";"Etu-töölö";"2h+k+halli+parveke";"kt";81;"540000";"6667";"1936";"2/7";"on";"hyvä";"oma";"F2013";"00100";"2h+k+halli+parveke";2;0;2;7;1;0;0;1;84;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"38";"Kamppi, töölö";"2h+avok+p";"kt";60;"410000";"6833";"1988";"6/8";"on";"hyvä";"vuokra";"E2013";"00100";"2h+avok+p";2;0;6;8;1;0;0;1;32;0;"E";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"39";"Töölö";"2h, kk";"kt";50;"335000";"6700";"1930";"6/8";"on";"huono";"oma";"F2013";"00100";"2h+kk";2;0;6;8;1;0;0;0;90;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"40";"Kamppi";"1h, lasisein...";"kt";42;"355000";"8452";"1929";"1/4";"ei";"hyvä";"oma";NA;"00100";"1h+lasisein...";1;0;1;4;0;0;0;1;91;1;"missing";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"42";"Töölö";"2h,k,kh";"kt";74;"516600";"6981";"1926";"5/6";"on";"tyyd.";"oma";"D2007";"00100";"2h+k+kh";2;0;5;6;1;0;1;0;94;1;"D";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"43";"Kluuvi";"2-3 h + kt + s";"kt";84;"1215000";"14464";"2014";"4/6";"on";" ";"oma";"C2007";"00100";"2-3h+kt+s";3;1;4;6;1;1;0;0;6;1;"C";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"44";"Kluuvi";"2 - 3 h + kt + s";"kt";84;"1315000";"15655";"2014";"4/6";"on";" ";"vuokra";"C2007";"00100";"2-3h+kt+s";3;1;4;6;1;1;0;0;6;0;"C";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"46";"Kamppi";"2h, avok, kph/wc";"kt";50;"460000";"9200";"1905";"4/5";"on";"tyyd.";"oma";"F";"00100";"2h+avok+kph/wc";2;0;4;5;1;0;1;0;115;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"47";"Etu-töölö";"2h, k, kph, eri...";"kt";66;"592000";"8970";"1922";"6/6";"on";"hyvä";"oma";"G2013";"00100";"2h+k+kph+eri...";2;0;6;6;1;0;0;1;98;1;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"48";"Etu-töölö";"2h, kk, kph (yh...";"kt";48,5;"403000";"8309";"1926";"4/6";"on";"tyyd.";"oma";"F2007";"00100";"2h+kk+kph(yh...";2;0;4;6;1;0;1;0;94;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"50";"Etu-töölö";"2h, k, kh";"kt";52;"470600";"9050";"1913";"4/4";"on";"hyvä";"oma";"G2013";"00100";"2h+k+kh";2;0;4;4;1;0;0;1;107;1;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"51";"Töölö";"2h, k, kph, s";"kt";57,5;"415000";"7217";"1930";"6/8";"on";"tyyd.";"oma";"F2013";"00100";"2h+k+kph+s";2;1;6;8;1;0;1;0;90;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"52";"Etu-töölö";"2h+k";"kt";58,5;"521000";"8906";"1928";"7/7";"on";"hyvä";"oma";"D2013";"00100";"2h+k";2;0;7;7;1;0;0;1;92;1;"D";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"53";"Kluuvi";"2h, k, vh, kph, wc";"kt";46,4;"430000";"9267";"1922";"4/6";"on";"hyvä";"oma";"D2007";"00100";"2h+k+vh+kph+wc";2;0;4;6;1;0;0;1;98;1;"D";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"54";"Etu-töölö";"2h, avok, kph, ...";"kt";42,5;"380000";"8941";"1935";"5/6";"on";"hyvä";"oma";NA;"00100";"2h+avok+kph+...";2;0;5;6;1;0;0;1;85;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"56";"Etu-töölö";"2 h, kk, kph, e...";"kt";58,5;"410000";"7009";"1928";"1/6";"on";"hyvä";"oma";"D2007";"00100";"2h+kk+kph+e...";2;0;1;6;1;0;0;1;92;1;"D";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"59";"Kamppi";"2h, k, kph, hal...";"kt";73,5;"550000";"7483";"1928";"3/6";"on";"hyvä";"oma";"F2013";"00100";"2h+k+kph+hal...";2;0;3;6;1;0;0;1;92;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"60";"Etu-töölö";"2h+k+kph (Yj. 2...";"kt";61;"355000";"5820";"1922";"1/7";"on";"tyyd.";"oma";"D";"00100";"2h+k+kph(yj.2...";2;0;1;7;1;0;1;0;98;1;"D";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"61";"Kamppi";"2h+kt+kh";"kt";50;"350000";"7000";"1929";"3/5";"on";"tyyd.";"oma";"G2013";"00100";"2h+kt+kh";2;0;3;5;1;0;1;0;91;1;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"62";"Kamppi";"2h+k+s";"kt";46;"580000";"12609";"2005";"5/6";"on";"hyvä";"oma";"D2007";"00100";"2h+k+s";2;1;5;6;1;0;0;1;15;1;"D";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"63";"Kamppi";"2h+kt+kh";"kt";48,5;"360000";"7423";"1929";"3/5";"on";"tyyd.";"oma";"G2013";"00100";"2h+kt+kh";2;0;3;5;1;0;1;0;91;1;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"64";"Kamppi";"2h, k, kph";"kt";43,5;"392000";"9011";"1932";"5/7";"on";"hyvä";"oma";"D2013";"00100";"2h+k+kph";2;0;5;7;1;0;0;1;88;1;"D";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"65";"Etu-töölö";"2h, kt, erill. ...";"kt";43;"358000";"8326";"1922";"1/6";"on";"hyvä";"oma";"F2013";"00100";"2h+kt+erill....";2;0;1;6;1;0;0;1;98;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"67";"Kamppi";"2, k, alkovi, k...";"kt";58;"475000";"8190";"1929";"2/5";"on";"hyvä";"oma";NA;"00100";"2+k+alkovi+k...";NA;0;2;5;1;0;0;1;91;1;"missing";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"68";"Etu-töölö";"2h+k+työti...";"kt";83;"715000";"8614";"1929";"8/8";"on";"hyvä";"oma";"F";"00100";"2h+k+työti...";2;0;8;8;1;0;0;1;91;1;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"69";"Etu-töölö";"1h, viherhuone,...";"kt";69,5;"694000";"9986";"2014";"7/7";"on";"hyvä";"oma";"A2007";"00100";"1h+viherhuone+...";1;0;7;7;1;0;0;1;6;1;"A";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"70";"Etu-töölö";"2 h + k +alkovi";"kt";72;"525000";"7292";"1912";"2/5";"on";"tyyd.";"oma";"G2013";"00100";"2h+k+alkovi";2;0;2;5;1;0;1;0;108;1;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"72";"Keskusta";"2h, k";"kt";69,6;"680000";"9770";"1905";"4/6";"on";"tyyd.";"oma";NA;"00100";"2h+k";2;0;4;6;1;0;1;0;115;1;"missing";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"73";"Etu-töölö";"3h+k+halli+2xkph+p";"kt";87;"700000";"8046";"1938";"4/7";"on";"hyvä";"oma";"E2013";"00100";"3h+k+halli+2xkph+p";3;0;4;7;1;0;0;1;82;1;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"74";"Kamppi";"3h+k+palv.h";"kt";105;"850000";"8095";"1926";"2/6";"on";"hyvä";"oma";"D2007";"00100";"3h+k+palv.h";3;0;2;6;1;0;0;1;94;1;"D";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"77";"Etu-töölö";"3h,k,kph";"kt";89;"580000";"6517";"1927";"5/6";"on";"hyvä";"oma";"F2013";"00100";"3h+k+kph";3;0;5;6;1;0;0;1;93;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"78";"Etu-töölö";"3h, k, kph/wc";"kt";77,5;"589000";"7600";"1930";"4/6";"on";"hyvä";"oma";"F2013";"00100";"3h+k+kph/wc";3;0;4;6;1;0;0;1;90;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"80";"Kamppi";"3h+kt+s";"kt";83;"1060000";"12771";"2014";"2/6";"on";"hyvä";"oma";"C2018";"00100";"3h+kt+s";3;1;2;6;1;0;0;1;6;1;"C";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"81";"Etu-töölö";"3h+k";"kt";74,1;"570000";"7692";"1924";"5/6";"on";"hyvä";"oma";"G2013";"00100";"3h+k";3;0;5;6;1;0;0;1;96;1;"G";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"82";"Etu-töölö";"2-3h, halli,k, ...";"kt";93;"530000";"5699";"1934";"2/7";"on";"huono";"oma";"E2018";"00100";"2-3h+halli+k+...";3;0;2;7;1;0;0;0;86;1;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"83";"Etu-töölö";"3h+kk+kph";"kt";73;"580000";"7945";"1912";"2/3";"ei";"hyvä";"oma";"E2018";"00100";"3h+kk+kph";3;0;2;3;0;0;0;1;108;1;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"84";"Etu-töölö";"3h+k+khh+vh (yh...";"kt";78;"621500";"7968";"1920";"1/5";"ei";"hyvä";"oma";"F2013";"00100";"3h+k+khh+vh(yh...";3;0;1;5;0;0;0;1;100;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"85";"Etu-töölö";"3h, k, ph, hall...";"kt";119;"765000";"6429";"1924";"3/7";"on";"tyyd.";"oma";"F2013";"00100";"3h+k+ph+hall...";3;0;3;7;1;0;1;0;96;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"86";"Etu-töölö";"3h+k+kph+halli";"kt";96;"600000";"6250";"1925";"5/6";"on";"huono";"oma";"D2007";"00100";"3h+k+kph+halli";3;0;5;6;1;0;0;0;95;1;"D";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"87";"Etu-töölö";"3h+k+halli+kph";"kt";91;"648000";"7121";"1935";"4/6";"on";"tyyd.";"oma";"F2013";"00100";"3h+k+halli+kph";3;0;4;6;1;0;1;0;85;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"88";"Etu-töölö";"3h + avok + kph...";"kt";69,4;"560000";"8069";"1925";"1/7";"on";"hyvä";"oma";"F2013";"00100";"3h+avok+kph...";3;0;1;7;1;0;0;1;95;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"89";"Etu-töölö";"3h+k+kph+erilli...";"kt";83,4;"530000";"6355";"1927";"2/7";"on";"tyyd.";"oma";"F2013";"00100";"3h+k+kph+erilli...";3;0;2;7;1;0;1;0;93;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"90";"Kamppi";"3h+k+s";"kt";81,5;"560000";"6871";"1988";"7/8";"on";"hyvä";"vuokra";"E2013";"00100";"3h+k+s";3;1;7;8;1;0;0;1;32;0;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"91";"Etu-töölö";"3-4h+k+kph+s+er...";"kt";117;"810000";"6923";"1926";"3/6";"ei";"hyvä";"oma";"D2007";"00100";"3-4h+k+kph+s+er...";4;1;3;6;0;0;0;1;94;1;"D";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"92";"Kamppi";"3h, k, s, parv.";"kt";56;"446000";"7964";"1914";"6/6";"on";"tyyd.";"oma";"G2013";"00100";"3h+k+s+parv.";3;1;6;6;1;0;1;0;106;1;"G";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"93";"Kluuvi";"2-3 h, avok, kp...";"kt";95;"770000";"8105";"1907";"5/5";"on";"hyvä";"oma";"D2007";"00100";"2-3h+avok+kp...";3;0;5;5;1;0;0;1;113;1;"D";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"95";"Etu-töölö";"3h+k+kph+wc (yh...";"kt";95;"655000";"6895";"1924";"6/6";"on";"hyvä";"oma";"F2013";"00100";"3h+k+kph+wc(yh...";3;0;6;6;1;0;0;1;96;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"97";"Etu-töölö";"3h+k (Yj.2h+k+p...";"kt";88,5;"720000";"8136";"1925";"5/6";"on";"hyvä";"oma";NA;"00100";"3h+k(yj.2h+k+p...";3;0;5;6;1;0;0;1;95;1;"missing";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"98";"Kamppi";"3h, k, kph, wc,...";"kt";141;"1032000";"7319";"1882";"3/4";"on";"hyvä";"oma";"E2018";"00100";"3h+k+kph+wc+...";3;0;3;4;1;0;0;1;138;1;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"99";"Etu-töölö";"3h, k, kph";"kt";99,2;"725000";"7308";"1924";"5/6";"on";"tyyd.";"oma";"G2013";"00100";"3h+k+kph";3;0;5;6;1;0;1;0;96;1;"G";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"100";"Etu-töölö";"3h+kk";"kt";69;"475000";"6884";"1931";"2/7";"on";"tyyd.";"oma";"F";"00100";"3h+kk";3;0;2;7;1;0;1;0;89;1;"F";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"101";"Kamppi";"3h, avok, kph, ...";"kt";74,5;"645000";"8658";"1974";"5/6";"on";"hyvä";"oma";"E2013";"00100";"3h+avok+kph+...";3;0;5;6;1;0;0;1;46;1;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"102";"Kamppi";"3h, k, kph ja wc";"kt";118;"1024000";"8678";"1882";"4/4";"on";"hyvä";"oma";"C2018";"00100";"3h+k+kphjawc";3;0;4;4;1;0;0;1;138;1;"C";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"103";"Kamppi";"3h, k, kph ja wc";"kt";105,5;"897000";"8502";"1882";"3/4";"ei";"hyvä";"oma";"E2018";"00100";"3h+k+kphjawc";3;0;3;4;0;0;0;1;138;1;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"104";"Etu-töölö";"3h, halli, k, k...";"kt";116;"750000";"6466";"1928";"3/6";"on";"tyyd.";"oma";"E2013";"00100";"3h+halli+k+k...";3;0;3;6;1;0;1;0;92;1;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"106";"Kamppi";"oh+k+2-3mh+s+kp...";"kt";107;"635000";"5935";"1988";"4/7";"on";"hyvä";"vuokra";"E2007";"00100";"oh+k+2-3mh+s+kp...";NA;1;4;7;1;0;0;1;32;0;"E";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"107";"Etu-töölö";"4 h, k, kh, 2 x wc";"kt";97,2;"600000";"6173";"1926";"4/6";"on";"tyyd.";"oma";"F2013";"00100";"4h+k+kh+2xwc";4;0;4;6;1;0;1;0;94;1;"F";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"110";"Töölö";"4h+k+kh+halli";"kt";137;"960000";"7007";"1927";"5/6";"on";"hyvä";"oma";"D2007";"00100";"4h+k+kh+halli";4;0;5;6;1;0;0;1;93;1;"D";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"111";"Etu-töölö";"4h ,k";"kt";96,8;"790000";"8161";"1926";"2/5";"on";"hyvä";"oma";NA;"00100";"4h+k";4;0;2;5;1;0;0;1;94;1;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"112";"Kamppi";"4h, k, rt, kph,...";"kt";117,5;"710000";"6043";"1988";"4/8";"on";"hyvä";"vuokra";"E2007";"00100";"4h+k+rt+kph+...";4;0;4;8;1;0;0;1;32;0;"E";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"115";"Etu-töölö";"4 huonetta, hal...";"kt";117;"597000";"5103";"1928";"5/7";"on";"hyvä";"oma";"F2013";"00100";"4huonetta+hal...";4;0;5;7;1;0;0;1;92;1;"F";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"117";"Etu-töölö";"5-6h+k+2xkph/wc...";"kt";280;"1400000";"5000";"1926";"3/6";"on";"hyvä";"oma";"G";"00100";"5-6h+k+2xkph/wc...";6;0;3;6;1;0;0;1;94;1;"G";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"118";"Etu-töölö";"4h, k, kh, 2 x ...";"kt";125;"1055000";"8440";"1910";"2/6";"on";"tyyd.";"oma";"F2013";"00100";"4h+k+kh+2x...";4;0;2;6;1;0;1;0;110;1;"F";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"119";"Kamppi";"4h+k+halli+2et+...";"kt";105;"665000";"6333";"1929";"4/5";"on";"tyyd.";"oma";"G2013";"00100";"4h+k+halli+2et+...";4;0;4;5;1;0;1;0;91;1;"G";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"120";"Etu-töölö";"5h, halli, keit...";"kt";187;"1270000";"6791";"1927";"3/6";"ei";"hyvä";"oma";"D2007";"00100";"5h+halli+keit...";5;0;3;6;0;0;0;1;93;1;"D";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"121";"Kluuvi";"4 h, k, s, wc, p";"kt";146;"1300989";"8911";"1913";"3/6";"on";"hyvä";"oma";"E2007";"00100";"4h+k+s+wc+p";4;1;3;6;1;0;0;1;107;1;"E";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"122";"Etu-töölö";"5h, k";"kt";184;"1200000";"6522";"1928";"6/6";"ei";"tyyd.";"oma";"F2013";"00100";"5h+k";5;0;6;6;0;0;1;0;92;1;"F";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"123";"Etu-töölö";"3-4 h, avokeitt...";"kt";121;"930000";"7686";"1924";"6/6";"on";"hyvä";"oma";"D2007";"00100";"3-4h+avokeitt...";4;0;6;6;1;0;0;1;96;1;"D";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"124";"Punavuori";"1h, avok, kph, ...";"kt";20,5;"232000";"11317";"1959";"5/7";"on";"tyyd.";"oma";"F2013";"00120";"1h+avok+kph+...";1;0;5;7;1;0;1;0;61;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"128";"Kamppi";"1h, kk, kh, vh ...";"kt";23,5;"210000";"8936";"1908";"2/3";"on";"hyvä";"oma";"E2018";"00120";"1h+kk+kh+vh...";1;0;2;3;1;0;0;1;112;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"129";"Punavuori";"1h, kk, kph";"kt";27;"282000";"10444";"1903";"3/3";"on";"hyvä";"oma";"G2013";"00120";"1h+kk+kph";1;0;3;3;1;0;0;1;117;1;"G";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"130";"Punavuori";"1h, kt, kph";"kt";24;"299000";"12458";"2017";"4/7";"on";"hyvä";"oma";"E2013";"00120";"1h+kt+kph";1;0;4;7;1;0;0;1;3;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
