"";"neighborhood";"apartment_type";"building_type";"square_meters";"price";"price_per_sqm";"year_built";"floor";"elevator";"condition";"property_type";"energy_classification";"post_code";"apartment_type_cleaned";"number_of_rooms";"sauna_dummy";"own_floor";"max_floor";"elevator_dummy";"condition_unrecorded_dummy";"condition_adequate_dummy";"condition_good_dummy";"age_of_building";"own_property_dummy";"energy_class_cleaned";"energy_class_A_dummy";"energy_class_B_dummy";"energy_class_C_dummy";"energy_class_D_dummy";"energy_class_E_dummy";"energy_class_F_dummy";"energy_class_G_dummy";"energy_class_missing_dummy";"one_room_dummy";"two_rooms_dummy";"three_rooms_dummy";"four_or_more_rooms_dummy";"room_information_missing_dummy";"row_house_dummy";"town_house_dummy"
"13697";"Kappelinluhta";"3h, k, s";"rt";80;"134000";"1675";"1988";" ";"ei";" ";"vuokra";"E2018";"26200";"3h+k+s";3;1;NA;NA;0;1;0;0;32;0;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
"13698";"Kappelinluhta";"3h, k, s";"rt";80;"132500";"1656";"1988";" ";"ei";" ";"vuokra";"E2018";"26200";"3h+k+s";3;1;NA;NA;0;1;0;0;32;0;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
"13699";"Uusilahti";"3h,k,s,khh";"rt";84;"148000";"1762";"1997";"1/1";"ei";"hyvä";"vuokra";"C2007";"26200";"3h+k+s+khh";3;1;1;1;0;0;0;1;23;0;"C";0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
"13700";"Kappelinluhta";"3h, k, s";"rt";80;"135000";"1688";"1989";"1/1";"ei";"hyvä";"vuokra";"E2013";"26200";"3h+k+s";3;1;1;1;0;0;0;1;31;0;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
"13701";"Merirauma";"3h, k";"rt";75;"70000";"933";"1970";" ";"ei";" ";"oma";"E2018";"26200";"3h+k";3;0;NA;NA;0;1;0;0;50;1;"E";0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
"13702";"";"3h, k, wc, saun...";"ok";100;"74000";"740";"1955";" ";"ei";" ";"oma";NA;"26200";"3h+k+wc+saun...";3;1;NA;NA;0;1;0;0;65;1;"missing";0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"13703";"";"3h, k, khh, kph...";"ok";75;"112000";"1493";"1956";" ";"ei";"tyyd.";"oma";NA;"26200";"3h+k+khh+kph...";3;0;NA;NA;0;0;1;0;64;1;"missing";0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"13704";"Kaaro";"5h, k, khh, 2 x...";"ok";141;"254000";"1801";"2007";" ";"ei";"hyvä";"oma";NA;"26410";"5h+k+khh+2x...";5;0;NA;NA;0;0;0;1;13;1;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"13705";"Kaaro";"5h, k, kph, 2 *...";"ok";105;"175000";"1667";"1957";" ";"ei";"hyvä";"oma";NA;"26410";"5h+k+kph+2*...";5;0;NA;NA;0;0;0;1;63;1;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"13706";"Kaaro";"5h, k, s, autot...";"ok";156;"255000";"1635";"2012";" ";"ei";"hyvä";"vuokra";"B2007";"26410";"5h+k+s+autot...";5;1;NA;NA;0;0;0;1;8;0;"B";0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
"13707";"Kaaro";"4h, k, khh, kph...";"ok";125;"240000";"1920";"2007";" ";"ei";"hyvä";"vuokra";"D2018";"26410";"4h+k+khh+kph...";4;0;NA;NA;0;0;0;1;13;0;"D";0;0;0;1;0;0;0;0;0;0;0;1;0;0;1
"13708";"Paroalho";"3h, k";"kt";70;"75450";"1078";"1971";"2/2";"ei";"hyvä";"vuokra";"G2013";"26660";"3h+k";3;0;2;2;0;0;0;1;49;0;"G";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"13709";"Kourujärvi";"3h, k";"kt";76;"42000";"553";"1976";"1/3";"ei";"tyyd.";"vuokra";NA;"26660";"3h+k";3;0;1;3;0;0;1;0;44;0;"missing";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"13710";"Kourujärvi";"3h, k, s";"rt";78;"107000";"1372";"1975";"1/1";"ei";"hyvä";"vuokra";"B2007";"26660";"3h+k+s";3;1;1;1;0;0;0;1;45;0;"B";0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"13711";"Kourujärvi";"3h, k, s, erill...";"rt";93;"122000";"1312";"1974";"1/2";"ei";" ";"vuokra";NA;"26660";"3h+k+s+erill...";3;1;1;2;0;1;0;0;46;0;"missing";0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
"13713";"Lensunkallio";"3h,k";"kt";80;"69000";"863";"1973";"3/3";"ei";" ";"vuokra";NA;"26660";"3h+k";3;0;3;3;0;1;0;0;47;0;"missing";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"13714";"Kourujärvi";"3h, k";"kt";78;"34000";"436";"1979";"1/3";"ei";" ";"vuokra";NA;"26660";"3h+k";3;0;1;3;0;1;0;0;41;0;"missing";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"13715";"Lensunkallio";"3h+k";"kt";80;"67321";"842";"1973";"2/3";"ei";" ";"vuokra";NA;"26660";"3h+k";3;0;2;3;0;1;0;0;47;0;"missing";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"13717";"";"3h,k,s";"ok";62;"63000";"1016";"1960";" ";"ei";"tyyd.";"vuokra";"G2018";"26660";"3h+k+s";3;1;NA;NA;0;0;1;0;60;0;"G";0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
"13718";"Kourujärvi";"2h, k, s";"rt";58;"75000";"1293";"1976";"1/1";"ei";"hyvä";"vuokra";"F2007";"26660";"2h+k+s";2;1;1;1;0;0;0;1;44;0;"F";0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"13719";"Lensunkallio";"2h, k";"kt";58;"72000";"1241";"1974";"2/3";"ei";"hyvä";"vuokra";"G2013";"26660";"2h+k";2;0;2;3;0;0;0;1;46;0;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"13720";"Lensunkallio";"2h, k";"kt";58;"65000";"1121";"1974";"1/3";"ei";"hyvä";"vuokra";"G2013";"26660";"2h+k";2;0;1;3;0;0;0;1;46;0;"G";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
