objectid,posti_alue,vuosi,nimi,namn,kunta,kuntanro,pinta_ala,xcoord,ycoord
1,00100,2020,Helsinki Keskusta - Etu-Töölö,Helsingfors centrum - Främre Tölö,091,91,2353278.46948,385114.00203,6672390.76920
2,00120,2020,Punavuori,Rödbergen,091,91,414009.56274,385613.51953,6671377.83066
3,00130,2020,Kaartinkaupunki,Gardesstaden,091,91,428960.33252,386227.61454,6671492.04932
4,00140,2020,Kaivopuisto - Ullanlinna,Brunnsparken - Ulrikasborg,091,91,931840.95532,386491.17593,6670519.16565
5,00150,2020,Eira - Hernesaari,Eira - Ärtholmen,091,91,1367327.61401,385117.96136,6670308.47929
6,00160,2020,Katajanokka,Skatudden,091,91,541135.67017,387315.06320,6671716.48007
7,00170,2020,Kruununhaka,Kronohagen,091,91,713343.26636,386475.38507,6672475.58732
8,00180,2020,Kamppi - Ruoholahti,Kampen - Gräsviken,091,91,1735293.33691,384270.93466,6671353.82006
9,00190,2020,Suomenlinna,Sveaborg,091,91,765012.32422,388101.77024,6669261.63759
10,00200,2020,Lauttasaari,Drumsö,091,91,2619434.18066,381744.20016,6671166.37632
11,00210,2020,Vattuniemi,Hallonnäs,091,91,1478220.78296,382295.50925,6669211.66737
12,00220,2020,Jätkäsaari,Busholmen,091,91,684781.26880,384382.54358,6670621.10676
13,00230,2020,Ilmala,Ilmala,091,91,171851.13281,384730.05342,6677126.60724
14,00240,2020,Länsi-Pasila,Västra Böle,091,91,2248864.12915,384905.23614,6676085.57005
15,00250,2020,Taka-Töölö,Bortre Tölö,091,91,3065419.40308,384015.66022,6674112.31829
16,00260,2020,Keski-Töölö,Mellersta Tölö,091,91,751804.77344,384850.02590,6673247.66698
17,00270,2020,Pohjois-Meilahti,Norra Mejlans,091,91,864732.14673,383757.51889,6674929.88972
18,00280,2020,Ruskeasuo,Brunakärr,091,91,822671.84888,383946.72646,6675770.43086
19,00290,2020,Meilahden sairaala-alue,Mejlans sjukhusområde,091,91,268739.11060,383909.79177,6674306.75991
20,00300,2020,Pikku Huopalahti,Lillhoplax,091,91,851105.44434,383195.38839,6675942.47886
21,00310,2020,Kivihaka,Stenhagen,091,91,621965.77954,384050.80462,6676743.93723
22,00320,2020,Etelä-Haaga,Södra Haga,091,91,1942279.82471,383408.98917,6677407.24431
23,00330,2020,Munkkiniemi,Munksnäs,091,91,1726679.88696,382149.28754,6675383.03280
24,00340,2020,Kuusisaari-Lehtisaari,Granö-Lövö,091,91,1008213.66821,381147.56387,6673464.23006
25,00350,2020,Munkkivuori-Niemenmäki,Munkshöjden-Näshöjden,091,91,2211028.17920,381878.12355,6676471.19404
26,00360,2020,Pajamäki,Smedjebacka,091,91,539397.65088,381245.28958,6677483.75842
27,00370,2020,Reimarla,Reimars,091,91,3126199.90039,381050.95195,6678206.60294
28,00380,2020,Pitäjänmäen teollisuusalue,Sockenbacka industriområde,091,91,1261325.30151,382129.74130,6677505.46373
29,00390,2020,Konala,Kånala,091,91,3232854.32910,380759.23240,6680134.79570
30,00400,2020,Pohjois-Haaga,Norra Haga,091,91,1764451.60864,383646.22985,6678554.59383
31,00410,2020,Malminkartano,Malmgård,091,91,1941784.16089,381444.01782,6681036.09700
32,00420,2020,Kannelmäki,Gamlas,091,91,2937877.76001,382617.08038,6680394.59203
33,00430,2020,Maununneva,Magnuskärr,091,91,4772713.53589,383711.12890,6681529.75582
34,00440,2020,Lassila,Lassas,091,91,950305.29346,382573.76639,6679012.56975
35,00500,2020,Sörnäinen,Sörnäs,091,91,585917.08081,386933.05297,6673991.38966
36,00510,2020,Etu-Vallila - Alppila,Främre Vallgård - Alphyddan,091,91,1062161.40820,386212.59557,6674492.71173
37,00520,2020,Itä-Pasila,Östra Böle,091,91,1567138.68823,385764.35273,6675444.74547
38,00530,2020,Kallio,Berghäll,091,91,1588139.53442,386276.33029,6673411.80529
39,00540,2020,Kalasatama,Fiskhamnen,091,91,683207.42944,387682.83001,6673549.87161
40,00550,2020,Vallila,Vallgård,091,91,946645.92871,386930.48366,6675134.69226
41,00560,2020,Toukola-Vanhakaupunki,Majstad-Gammelstad,091,91,3878502.22485,388107.76181,6676772.98268
42,00570,2020,Kulosaari,Brändö,091,91,1796540.42847,389105.40802,6673420.49217
43,00580,2020,Verkkosaari,Nätholmen,091,91,1310058.76440,387775.67951,6674671.38560
44,00590,2020,Kaitalahti,Hålvik,091,91,1821381.21265,390311.76336,6672044.63509
45,00600,2020,Koskela-Helsinki,Forsby-Helsingfors,091,91,949209.48267,387178.03776,6677576.70168
46,00610,2020,Käpylä,Kottby,091,91,2015364.66699,386336.59507,6676839.19546
47,00620,2020,Metsälä-Etelä-Oulunkylä,Krämertsskog-Södra Åggelby,091,91,2244048.52490,385565.10972,6677938.95462
48,00630,2020,Maunula-Suursuo,Månsas-Storkärr,091,91,2513373.67847,385099.52944,6678942.73974
49,00640,2020,Oulunkylä-Patola,Åggelby-Dammen,091,91,2259872.85107,387194.11359,6679151.77541
50,00650,2020,Veräjämäki,Grindbacka,091,91,1631932.18286,387961.91915,6678505.67611
51,00660,2020,Länsi-Pakila,Västra Baggböle,091,91,2559655.13721,385356.41089,6680110.74640
52,00670,2020,Paloheinä,Svedängen,091,91,3040959.44751,385316.12165,6681518.23401
53,00680,2020,Itä-Pakila,Östra Baggböle,091,91,2164288.19287,387003.12198,6680574.08930
54,00690,2020,Tuomarinkylä-Torpparinmäki,Domarby-Torparbacken,091,91,4714015.51123,386586.27290,6682641.05160
55,00700,2020,Malmi,Malm,091,91,6435482.79761,390777.80702,6680666.76974
56,00710,2020,Pihlajamäki,Rönnbacka,091,91,2823097.14868,389419.97862,6679098.65607
57,00720,2020,Pukinmäki-Savela,Bocksbacka-Lerstrand,091,91,2088326.64819,388585.10249,6680319.65924
58,00730,2020,Tapanila,Mosabacka,091,91,3623272.78052,390645.75167,6682592.40246
59,00740,2020,Siltamäki,Brobacka,091,91,3565185.07788,389151.49554,6683735.45772
60,00750,2020,Puistola,Parkstad,091,91,3031849.76978,391122.06104,6684179.15069
61,00760,2020,Suurmetsä,Storskog,091,91,3363241.80908,392775.55544,6683129.87187
62,00770,2020,Jakomäki - Alppikylä,Jakobacka - Alpbyn,091,91,3545999.85181,393064.20096,6681670.16106
63,00780,2020,Tapaninvainio,Staffansslätten,091,91,2282749.59668,388577.99117,6681816.66280
64,00790,2020,Viikki,Vik,091,91,3725156.54517,390718.06577,6678180.82540
65,00800,2020,Länsi-Herttoniemi,Västra Hertonäs,091,91,3052565.53101,391136.77130,6676464.33044
66,00810,2020,Herttoniemi,Hertonäs,091,91,2268312.97412,390619.00154,6674525.60351
67,00820,2020,Roihuvuori,Kasberget,091,91,1295253.71289,392404.38855,6675297.95413
68,00830,2020,Tammisalo,Tammelund,091,91,1599519.85132,393015.21553,6673870.55676
69,00840,2020,Laajasalo,Degerö,091,91,3013994.70947,391916.21527,6672665.24997
70,00850,2020,Jollas,Jollas,091,91,4156916.20532,394266.12517,6670899.92249
71,00860,2020,Santahamina,Sandhamn,091,91,6393081.76343,391356.48387,6668347.43862
72,00870,2020,Etelä-Laajasalo,Södra Degerö,091,91,1407888.99878,391402.23836,6671484.24595
73,00880,2020,Roihupellon teollisuusalue,Kasåkerns industriområde,091,91,1769751.22778,391823.35073,6675704.62847
74,00890,2020,Östersundom,Östersundom,091,91,27345952.50562,400202.68770,6682031.29567
75,00900,2020,Puotinharju,Botbyhöjden,091,91,1169002.89087,393608.55945,6676850.26503
76,00910,2020,Puotila,Botby gård,091,91,1118991.66162,394778.79022,6676541.57801
77,00920,2020,Myllypuro,Kvarnbäcken,091,91,3573372.57959,392787.86629,6677786.73989
78,00930,2020,Itäkeskus-Marjaniemi,Östra centrum-Marudd,091,91,2034414.68701,393716.20319,6675794.16631
79,00940,2020,Kontula - Vesala,Gårdsbacka - Ärvings,091,91,5776813.41479,393436.95420,6679515.88824
80,00950,2020,Vartioharju,Botbyåsen,091,91,3135342.19531,395196.73590,6677776.33113
81,00960,2020,Pohjois-Vuosaari,Norra  Nordsjö,091,91,2504021.18359,397122.97372,6677668.91018
82,00970,2020,Mellunmäki,Mellungsbacka,091,91,3453709.00562,396193.46820,6679086.76430
83,00980,2020,Etelä-Vuosaari,Södra Nordsjö,091,91,10710383.80444,397465.12495,6676003.92556
84,00990,2020,Aurinkolahti,Solvik,091,91,2565419.28076,398338.59107,6675428.03989
85,01120,2020,Västerskog,Västerskog,753,753,24817051.56714,404808.37231,6679448.53523
86,01150,2020,Söderkulla,Söderkulla,753,753,48724858.14893,407728.86254,6684772.34919
87,01180,2020,Kalkkiranta,Kalkstrand,638,638,16962600.72217,414703.78159,6676507.37893
88,01190,2020,Box,Box,753,753,32270791.24292,411745.41354,6687293.22610
89,01200,2020,Hakunila,Håkansböle,092,92,19506779.34302,397346.10614,6683971.57827
90,01230,2020,Vaarala,Fagersta,092,92,3386756.97925,395072.13028,6682173.11263
91,01260,2020,Itä-Hakkila,Östra Haxböle,092,92,8277506.00684,396280.47310,6686448.01371
92,01280,2020,Länsimäki,Västerkulla,092,92,3479419.58472,395335.55255,6680586.06744
93,01300,2020,Tikkurila,Dickursby,092,92,6007206.94043,390822.69881,6685892.07836
94,01340,2020,Leinelä,Lejle,092,92,230647.68408,391740.91241,6689135.99457
95,01350,2020,Hiekkaharju,Sandkulla,092,92,2811047.57031,391483.56517,6687581.95924
96,01360,2020,Koivukylä-Havukoski,Björkby-Havukoski,092,92,5764301.63379,393306.20491,6688236.21569
97,01370,2020,Jokiniemi,Ånäs,092,92,3261820.12207,393050.62043,6686343.98157
98,01380,2020,Kuusikko-Hakkila,Sexan-Håkansböle,092,92,4403606.73560,393819.87093,6685267.53411
99,01390,2020,Ruskeasanta-Ilola,Rödsand-Gladas,092,92,7098929.96265,390298.89143,6689204.86306
100,01400,2020,Rekola,Räckhals,092,92,5729265.93359,393574.56785,6690077.19779
101,01420,2020,Päiväkumpu,Lövkulla,092,92,3919259.10229,395649.29747,6689030.48785
102,01450,2020,Korso,Korso,092,92,14317811.19946,393402.18377,6692769.62947
103,01480,2020,Mikkola,Mikkola,092,92,2913620.85693,395555.30488,6691388.25598
104,01490,2020,Nikinmäki,Nissbacka,092,92,6211953.07812,397056.84114,6690600.00518
105,01510,2020,Kirkonkylä-Veromäki,Kyrkoby-Skattbacka,092,92,7660748.03369,387689.42930,6685467.47918
106,01520,2020,Tammisto,Rosendal,092,92,2019023.67480,387303.04314,6683861.78190
107,01530,2020,Veromiehenkylä,Skattmansby,092,92,17319257.17993,386773.69504,6688424.66555
108,01600,2020,Myyrmäki,Myrbacka,092,92,2774549.09570,381051.61999,6682779.44838
109,01610,2020,Kaivoksela,Gruvsta,092,92,2775025.74634,382489.97648,6682860.49772
110,01620,2020,Martinlaakso,Mårtensdal,092,92,3185036.69092,381071.17306,6684543.84449
111,01630,2020,Hämeenkylä,Tavastby,092,92,2645688.85815,377585.94295,6683214.99087
112,01640,2020,Hämevaara,Tavastberga,092,92,3107720.97070,378157.52503,6681498.71919
113,01650,2020,Vapaala,Friherrs,092,92,2132776.94141,379763.30154,6682603.20481
114,01660,2020,Varisto,Varistorna,092,92,1007946.93066,379264.21128,6683482.62399
115,01670,2020,Vantaanlaakso,Vandadalen,092,92,2287548.51709,382417.70142,6684867.71425
116,01680,2020,Askisto,Askis,092,92,6601075.40576,377611.23120,6685666.88251
117,01690,2020,Ylästö,Övitsböle,092,92,6045928.52637,384847.78964,6684329.44419
118,01700,2020,Kivistö,Kivistö,092,92,4607968.16089,380785.01994,6689333.65055
119,01710,2020,Pähkinärinne,Hasselbacken,092,92,1234758.86157,378254.34136,6682313.25728
120,01720,2020,Petikko,Petikko,092,92,4257139.79907,379273.12162,6685012.14218
121,01730,2020,Vantaanpuisto,Vandaparken,092,92,14628562.36230,381398.59849,6688019.97883
122,01740,2020,Tuupakan teollisuusalue,Stubbacka industriområde,092,92,8136712.97778,383721.93119,6686432.97432
123,01750,2020,Keimola,Käinby,092,92,22646756.61938,378245.32927,6691184.41731
124,01760,2020,Seutula,Sjöskog,092,92,33019745.51904,382579.85024,6693546.39660
125,01770,2020,Martinlaakson teollisuusalue,Mårtensdals industriområde,092,92,188347.09790,381400.71419,6685426.64417
126,01800,2020,Klaukkala Keskus,Klaukkala centrum,543,543,21366979.15991,375237.77950,6696335.39404
127,01810,2020,Luhtajoki,Luhtajoki,543,543,13982284.04834,378897.86801,6698740.78715
128,01820,2020,Haikala,Haikala,543,543,5424585.77637,376709.04874,6698751.90478
129,01830,2020,Lepsämä,Lepsämä,543,543,35127329.13379,369940.79822,6697681.49783
130,01840,2020,Klaukkala,Klaukkala,543,543,8744818.86182,375849.95871,6693498.22143
131,01860,2020,Perttula,Perttula,543,543,58522618.88330,372039.53313,6702950.20381
132,01900,2020,Nurmijärvi Keskus,Nurmijärvi centrum,543,543,77693516.00732,380726.91904,6705918.72780
133,01940,2020,Palojoki,Palojoki,543,543,19797662.63721,382175.37798,6700572.31253
134,02100,2020,Tapiola,Hagalund,049,49,1907447.08398,378346.92229,6672954.04366
135,02110,2020,Otsolahti,Björnviken,049,49,878222.39648,378945.41354,6673216.26608
136,02120,2020,Länsikorkee-Suvikumpu,Västerhöjden-Solhöjden,049,49,712857.67212,377422.82451,6672789.01142
137,02130,2020,Pohjois-Tapiola,Norra Hagalund,049,49,2646565.62231,377677.96212,6674541.36458
138,02140,2020,Laajalahti,Bredvik,049,49,2429131.64331,378195.20353,6675878.36445
139,02150,2020,Otaniemi,Otnäs,049,49,2003315.44360,379513.73182,6673847.74255
140,02160,2020,Westend,Westend,049,49,2066999.91797,378028.50982,6671339.16118
141,02170,2020,Haukilahti,Gäddvik,049,49,1942276.70166,376442.96998,6671526.62357
142,02180,2020,Mankkaa,Mankans,049,49,3423520.97998,376188.88721,6675180.05147
143,02200,2020,Niittykumpu,Ängskulla,049,49,4513457.00342,375848.44618,6673043.47769
144,02210,2020,Olari,Olars,049,49,3621355.97046,373710.82989,6673201.73352
145,02230,2020,Matinkylä,Mattby,049,49,5967506.82935,375175.12804,6670233.18477
146,02240,2020,Friisilä,Frisans,049,49,1401091.46777,373313.02523,6672237.55820
147,02250,2020,Henttaa,Hemtans,049,49,2152410.99170,374200.81446,6674477.18684
148,02260,2020,Kaitaa,Kaitans,049,49,2361154.48047,371976.52904,6669978.81415
149,02270,2020,Finnoo-Eestinmalmi,Finno-Estmalmen,049,49,3437198.62402,372516.84409,6671257.03861
150,02280,2020,Malminmäki-Eestinlaakso,Malmbacka-Estdalen,049,49,3365630.10547,371659.81851,6673385.73313
151,02290,2020,Puolarmetsän sairaala,Bolarskogs sjukhus,049,49,166266.26758,372632.65007,6673272.89096
152,02300,2020,Nöykkiönpuro,Nöykisbäcken,049,49,1730780.09277,370747.10672,6671406.36495
153,02320,2020,Espoonlahti,Esboviken,049,49,3071665.61450,369251.21750,6670371.31271
154,02330,2020,Saunalahti-Kattilalaakso,Bastvik-Kitteldalen,049,49,5896237.01172,368933.31132,6672208.17706
155,02340,2020,Latokaski,Ladusved,049,49,3617720.14209,369984.16373,6673838.70322
156,02360,2020,Soukka,Sökö,049,49,4902586.20239,370791.91857,6668814.27224
157,02380,2020,Suvisaaristo,Sommaröarna,049,49,8990600.18066,372513.43012,6665986.09287
158,02390,2020,Sarvvik,Sarvvik,257,257,12005670.49194,366271.79085,6668957.14675
159,02400,2020,Kirkkonummi Keskus,Kyrkslätt centrum,257,257,71190786.62012,355793.07900,6670547.20322
160,02410,2020,Gesterby,Gesterby,257,257,916657.95215,358327.13426,6669358.76254
161,02420,2020,Jorvas,Jorvas,257,257,49028555.39478,364478.86445,6665271.58144
162,02430,2020,Masala,Masaby,257,257,9947574.22803,362093.01159,6672098.24784
163,02440,2020,Luoma,Bobäck,257,257,8435586.05835,362730.92444,6674182.22058
164,02450,2020,Sundsberg,Sundsberg,257,257,4292941.99927,364979.89647,6670880.67588
165,02460,2020,Kantvik,Kantvik,257,257,4388138.72632,354841.31647,6664662.99663
166,02470,2020,Upinniemi,Obbnäs,257,257,7830570.78467,352746.68458,6657197.47847
167,02480,2020,Porkkala,Porkala,257,257,112373250.67920,358530.62507,6659754.64245
168,02490,2020,Pikkala,Pickala,755,755,7888455.35938,352032.80217,6665078.94008
169,02510,2020,Oitmäki,Oitbacka,257,257,16213518.40112,361148.98146,6677456.79848
170,02520,2020,Lapinkylä,Lappböle,257,257,17733356.41431,358164.92548,6678371.49117
171,02540,2020,Kylmälä,Kylmälä,257,257,16071748.25000,355132.42738,6680935.22371
172,02550,2020,Evitskog,Evitskog,257,257,34440036.73242,352845.43531,6676367.63446
173,02570,2020,Siuntio Kirkonkylä,Sjundeå kyrkby,755,755,91283111.82788,346718.41845,6678090.53742
174,02580,2020,Siuntio Asemanseutu,Sjundeå stationsamhälle,755,755,84188883.56079,346600.32319,6669006.60428
175,02590,2020,Lappers,Lappers,755,755,15359939.71460,339800.43224,6674964.88014
176,02600,2020,Etelä-Leppävaara,Södra Alberga,049,49,4424273.51318,378898.27419,6676982.33392
177,02610,2020,Kilo,Kilo,049,49,2926722.92993,376673.01358,6678055.17647
178,02620,2020,Karakallio,Karabacka,049,49,4031134.40137,376746.28961,6679586.92061
179,02630,2020,Nihtisilta,Knektbro,049,49,2712529.50610,376182.70318,6676814.15281
180,02650,2020,Pohjois-Leppävaara,Norra Alberga,049,49,2648088.57080,379096.59614,6678435.62676
181,02660,2020,Lintuvaara,Fågelberga,049,49,3357279.36963,378671.39209,6679882.99375
182,02680,2020,Uusmäki,Nybacka,049,49,1321121.78491,379778.46665,6680201.41420
183,02700,2020,Kauniainen,Grankulla,235,235,5543628.38843,373452.79939,6677521.68640
184,02710,2020,Viherlaakso,Gröndal,049,49,2651282.05957,374870.93798,6678997.95205
185,02720,2020,Lähderanta,Källstrand,049,49,1655677.63379,374832.87133,6680409.02134
186,02730,2020,Jupperi,Jupper,049,49,3380256.67310,376170.56211,6681468.18800
187,02740,2020,Bemböle-Pakankylä,Bemböle-Backby,049,49,29804102.68872,370032.42032,6683158.54944
188,02750,2020,Sepänkylä-Kuurinniitty,Smedsby-Kurängen,049,49,5792011.03149,373793.51526,6675688.90463
189,02760,2020,Tuomarila-Suvela,Domsby-Södrik,049,49,4099623.57544,371463.81842,6675883.28001
190,02770,2020,Espoon Keskus,Esbo centrum,049,49,7755135.70142,369562.92216,6676507.44980
191,02780,2020,Kauklahti,Köklax,049,49,28168263.83789,365711.13126,6675950.23280
192,02810,2020,Gumböle-Karhusuo,Gumböle-Björnkärr,049,49,4352604.87817,368394.91336,6678670.96996
193,02820,2020,Nupuri-Nuuksio,Nupurböle-Noux,049,49,63272109.69458,364887.68329,6684606.35055
194,02860,2020,Siikajärvi,Siikajärvi,049,49,15725519.21533,362711.16311,6685121.00713
195,02880,2020,Veikkola,Veikkola,257,257,40354062.32812,357898.79865,6684399.79964
196,02920,2020,Niipperi,Nipert,049,49,12923101.86548,374922.30304,6684334.81650
197,02940,2020,Lippajärvi-Järvenperä,Klappträsk-Träskända,049,49,22712424.66699,372584.16165,6682909.56162
198,02970,2020,Kalajärvi,Kalajärvi,049,49,28461323.09253,373973.88968,6689494.81014
199,02980,2020,Lakisto,Lakisto,049,49,31113059.69873,368764.47818,6690951.07498
200,03100,2020,Nummela,Nummela,927,927,78159694.58740,350466.44093,6692039.75726
201,03150,2020,Huhmari,Huhmari,927,927,23502479.47705,353575.16640,6686954.47919
202,03220,2020,Tervalampi,Tervalampi,927,927,28318549.53857,358422.56671,6690660.13295
203,03250,2020,Ojakkala,Ojakkala,927,927,35873700.93652,357056.02341,6695868.81495
204,03300,2020,Otalampi,Otalampi,927,927,76325543.62866,363138.45021,6696885.75889
205,03320,2020,Selki,Selki,927,927,20068682.37720,365028.11625,6702081.81982
206,03400,2020,Vihti Kirkonkylä,Vichtis kyrkby,927,927,166221787.12866,354038.26739,6703789.75963
207,03430,2020,Jokikunta,Jokikunta,927,927,46819780.60669,345048.84573,6702154.72522
208,03600,2020,Karkkila Keskus,Högfors centrum,224,224,170929086.02905,343015.63825,6719156.89285
209,03620,2020,Polari,Polari,224,224,59960980.07837,352738.69278,6715425.63556
210,03710,2020,Uusitalo,Uusitalo,224,224,49229428.31250,356337.54340,6712608.38862
211,03790,2020,Vihtijärvi,Vihtijärvi,927,927,66361148.79443,364032.39099,6712699.62993
212,03810,2020,Ikkala,Ikkala,444,444,46090266.02124,341155.66005,6708624.59683
213,03850,2020,Pusula,Pusula,444,444,193989762.09412,334432.44559,6713684.31107
214,03870,2020,Hyönölä,Hyönölä,444,444,17043081.56555,330630.58089,6707419.98395
215,04130,2020,Sipoo,Sibbo,753,753,115656344.44141,404286.80210,6692652.88627
216,04150,2020,Martinkylä,Martinkylä,753,753,12584511.82446,402154.90321,6696577.40312
217,04170,2020,Paippinen,Paippinen,753,753,50709197.43701,402990.03523,6703041.17339
218,04200,2020,Kerava Keskus,Kervo centrum,245,245,7796821.72363,396080.83569,6698986.14762
219,04220,2020,Ahjo-Kaskela,Ahjo-Kaskela,245,245,6796191.98926,397922.07572,6697671.23528
220,04230,2020,Pihkaniitty,Pihkaniitty,245,245,3862101.92310,395118.92252,6699881.77280
221,04240,2020,Talma,Talma,753,753,19182865.81030,399602.09013,6699210.73180
222,04250,2020,Alikerava,Alikerava,245,245,8695864.53809,396711.83127,6695397.67038
223,04260,2020,Savio,Savio,245,245,6167624.17163,394609.96314,6695293.12024
224,04300,2020,Hyrylä,Hyrylä,858,858,32639869.67090,390209.51112,6700321.44997
225,04310,2020,Tuusula Keskus,Tusby centrum,858,858,7525291.53296,392832.93221,6699778.46572
226,04320,2020,Riihikallio,Riihikallio,858,858,6476510.44531,390714.86028,6694582.95489
227,04330,2020,Lahela,Lahela,858,858,5073534.13550,388361.94436,6696420.09018
228,04340,2020,Mattila,Mattila,858,858,3779745.15625,393462.45357,6697506.11035
229,04350,2020,Nahkela,Nahkela,858,858,18656577.56543,384939.91660,6697719.54102
230,04360,2020,Ruotsinkylä-Kiilinmäki,Klemetskog-Kiilinmäki,858,858,26391786.68042,387873.85578,6693033.15779
231,04370,2020,Rusutjärvi,Rusutjärvi,858,858,16964196.35107,387052.31532,6701705.50134
232,04380,2020,Tuomala,Tuomala,858,858,16997415.43140,392379.93539,6704396.62870
233,04390,2020,Jäniksenlinna,Jäniksenlinna,858,858,14343571.85181,389101.29728,6707709.19948
234,04400,2020,Loutti,Loutti,186,186,9940913.57056,393899.36566,6704836.65606
235,04410,2020,Järvenpää Keskus,Träskända centrum,186,186,6340402.43896,395631.68107,6707613.14962
236,04420,2020,Kyrölä,Kyrölä,186,186,3646557.55957,395876.57116,6703435.23071
237,04430,2020,Kinnari-Mikonkorpi,Kinnari-Mikonkorpi,186,186,17959306.91748,397782.98102,6704499.83614
238,04440,2020,Jamppa,Jamppa,186,186,7606219.13501,393357.31554,6708884.15534
239,04460,2020,Nummenkylä,Nummenkylä,186,186,1858031.16699,395103.00175,6709549.67790
240,04480,2020,Haarajoki,Haarajoki,505,505,19687979.76538,399522.14055,6709448.70630
241,04500,2020,Kellokoski,Kellokoski,858,858,35762386.82983,396078.22630,6712934.71154
242,04530,2020,Ohkola,Ohkola,505,505,50842371.57690,397331.02888,6718732.27756
243,04600,2020,Mäntsälä Keskus,Mäntsälä centrum,505,505,34697938.52612,409319.61157,6724325.25840
244,04620,2020,Kaunismäki,Kaunismäki,505,505,17886244.41309,406317.84945,6725764.02642
245,04630,2020,Sääksjärvi,Sääksjärvi,505,505,68272104.97534,413776.56726,6719356.74093
246,04660,2020,Numminen,Numminen,505,505,75493009.85474,406418.36517,6716133.86693
247,04680,2020,Hirvihaara,Hirvihaara,505,505,45485833.26123,401016.76452,6723031.06818
248,04740,2020,Sälinkää,Sälinkää,505,505,96973810.07666,402652.70070,6730732.13887
249,04770,2020,Sahakylä,Sahakylä,505,505,39054520.74829,402659.34531,6737474.57887
250,04820,2020,Kaukalampi,Kaukalampi,505,505,28271291.33447,411029.72127,6730849.17339
251,04840,2020,Hautjärvi,Hautjärvi,505,505,35199579.80615,416755.65430,6732500.38695
252,04920,2020,Saarentaus,Saarentaus,505,505,24047938.16772,411738.57608,6734749.10043
253,04940,2020,Levanto,Levanto,505,505,20021891.28882,415148.53976,6738137.34174
254,05100,2020,Röykkä,Röykkä,543,543,40546256.98389,369231.76838,6708669.79768
255,05200,2020,Rajamäki,Rajamäki,543,543,63642357.54370,375750.87281,6712809.66703
256,05250,2020,Kiljava,Kiljava,543,543,8121138.43896,373802.35084,6709023.74084
257,05400,2020,Jokela,Jokela,858,858,31846255.49048,388694.39551,6714964.12852
258,05430,2020,Nuppulinna,Nuppulinna,858,858,17700414.93530,391436.62832,6711875.05863
259,05440,2020,Hyvinkää,Hyvinge,106,106,4026927.86230,384124.75177,6719865.40750
260,05450,2020,Nukari,Nukari,543,543,38978219.06445,384972.84821,6712123.21877
261,05460,2020,Hakalanmäki-Hakala,Hakalanmäki-Hakala,106,106,2680015.97144,383281.06208,6721406.37962
262,05470,2020,Palopuro,Palopuro,106,106,14712821.66895,387097.88895,6719047.15119
263,05510,2020,Päivärinta,Päivärinta,106,106,20873894.46411,392244.92408,6719444.18941
264,05620,2020,Noppo,Noppo,106,106,28403902.20264,378897.23863,6716427.75041
265,05720,2020,Kytäjä,Kytäjä,106,106,75446137.37329,371005.25664,6720672.31855
266,05800,2020,Hyvinkää Keskus,Hyvinge centrum,106,106,49402177.29614,380557.84012,6726040.43872
267,05810,2020,Martti,Martti,106,106,4970612.42310,384834.40453,6722407.20608
268,05820,2020,Mustamännistö,Mustamännistö,106,106,48327603.10864,387001.29161,6726013.13391
269,05830,2020,Kirjavatolppa-Kruununpuisto,Kirjavatolppa-Kruununpuisto,106,106,4698772.41895,381655.24338,6721996.52942
270,05840,2020,Hyvinkäänkylä-Vehkoja,Hyvinkäänkylä-Vehkoja,106,106,24883543.27734,380033.03840,6719585.30300
271,05850,2020,"Hyvinkää, sairaala-alue","Hyvinge, sjukhusområde",106,106,112332.34521,381115.31069,6721271.31556
272,05860,2020,Talvisilta,Talvisilta,106,106,1533167.44141,380669.60630,6723419.08449
273,05880,2020,Paavola-Vaivero,Paavola-Vaivero,106,106,6066502.57593,380611.03708,6726412.23715
274,05900,2020,Vieremä,Vieremä,106,106,1915999.02075,381855.72694,6723893.68076
275,05950,2020,Ridasjärvi,Ridasjärvi,106,106,51551061.20312,392579.19652,6726046.45006
276,06100,2020,Porvoo Keskus,Borgå centrum,638,638,15752088.62134,425917.93854,6695847.47880
277,06150,2020,Kevätkumpu,Kevätkumpu,638,638,8931436.92554,428414.13128,6695845.73423
278,06200,2020,Porvoo itäinen,Borgå östra,638,638,166036533.95068,432796.71099,6689539.87259
279,06400,2020,Gammelbacka,Gammelbacka,638,638,7146238.34082,423951.15223,6692415.10329
280,06450,2020,Eestinmäki-Ernestas,Estbacka-Ernestas,638,638,4764472.49268,422939.36155,6693909.40066
281,06500,2020,Saksala-Suomenkylä,Saxby-Finnby,638,638,73536190.99609,422686.37280,6700427.31736
282,06530,2020,Kerkkoo,Kerko,638,638,19706812.54126,425037.68199,6704127.78023
283,06650,2020,Hamari,Hammars,638,638,1413808.39355,424722.33481,6692583.02507
284,06750,2020,Tolkkinen,Tolkis,638,638,13524357.61011,421203.96520,6690784.60373
285,06830,2020,Kulloonkylä,Kulloby,638,638,35670263.17578,415835.95925,6690762.10671
286,06850,2020,Kulloo,Kullo,638,638,14639721.08643,417591.76199,6686696.71531
287,06880,2020,Kärrby,Kärby,753,753,24416848.45264,415847.63285,6681495.98351
288,06950,2020,Emäsalo,Emsalo,638,638,36772858.55688,423676.22472,6680908.55330
289,07110,2020,Hinthaara,Hindhår,638,638,36685001.49512,417147.53626,6696918.42758
